root_id,primary_type,transit_role,side,super_class,class,sub_class,hemilineage,name,codex_url
720575940605827761,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM2_CX_d2,EB.40,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940605827761
720575940610453427,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM2_CX_d1,EB.19,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940610453427
720575940610901930,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM3_CX_d2,EB.79,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940610901930
720575940614926475,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM4_CX_d1,EB.59,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940614926475
720575940617769851,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM1_CX_d2,EB.32,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940617769851
720575940618612952,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM3_CX_d2,EB.73,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940618612952
720575940619296365,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM3_CX_d1,EB.42,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940619296365
720575940620282906,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM4_CX_d1,EB.30,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940620282906
720575940623046548,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM2_CX_d2,EB.56,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940623046548
720575940623852873,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM4_CX_d2,EB.64,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940623852873
720575940624096234,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM4_CX_d2,EB.GA.4,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940624096234
720575940624784280,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM2_CX_d2,EB.48,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940624784280
720575940625351354,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM2_CX_d1,EB.26,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940625351354
720575940626137895,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM3_CX_d1,EB.33,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940626137895
720575940626315207,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM4_CX_d1,PB.17,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940626315207
720575940628802041,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM4_CX_d1,EB.22,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940628802041
720575940629691753,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM1_CX_d2,GA.PB.1,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940629691753
720575940632614295,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM3_CX_d1,EB.35,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940632614295
720575940633719487,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM4_CX_d2,EB.75,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940633719487
720575940635427982,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM4_CX_d2,EB.45,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940635427982
720575940635461550,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM1_CX_d2,EB.15,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940635461550
720575940638850512,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM2_CX_d1,EB.12,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940638850512
720575940642634532,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM1_CX_d2,EB.13,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940642634532
720575940658101889,EPG,Compass Heading (Spatial Continuity & Wayfinding),left,central,CX,,DM3_CX_d2,EB.66,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940658101889
720575940604801993,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM3_CX_d1,EB.27,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940604801993
720575940608722371,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM1_CX_d2,EB.29,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940608722371
720575940611216099,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM3_CX_d2,EB.44,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940611216099
720575940613829900,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM1_CX_d2,EB.8,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940613829900
720575940613836438,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM2_CX_d1,EB.11,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940613836438
720575940614297640,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM2_CX_d2,EB.348,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940614297640
720575940616502066,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM4_CX_d2,EB.PB.3,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940616502066
720575940616569601,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM4_CX_d2,EB.57,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940616569601
720575940619006272,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM2_CX_d2,EB.355,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940619006272
720575940620020694,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM4_CX_d1,EB.51,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940620020694
720575940620664741,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM3_CX_d2,EB.352,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940620664741
720575940622364771,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM3_CX_d2,EB.58,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940622364771
720575940626449082,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM2_CX_d2,GA.PB.2,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940626449082
720575940626721835,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM4_CX_d2,EB.61,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940626721835
720575940627140551,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM3_CX_d1,EB.21,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940627140551
720575940628493572,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM4_CX_d1,EB.23,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940628493572
720575940628843458,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM1_CX_d2,EB.9,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940628843458
720575940630199963,EPG,Compass Heading (Spatial Continuity & Wayfinding),right,central,CX,,DM2_CX_d1,EB.36,https://codex.flywire.ai/?dataset=fafb&root_ids=720575940630199963
